unknown,-1,0,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1437,2023-11-01 14:46:04.800,GPS,167577551,0,3,283582800,2286,32,0.53,24.7759175,121.0425062,130.66,0.03,176.1152,-0.011,0,1
1545,2023-11-01 14:46:05.020,GPS,167797331,0,3,283583000,2286,32,0.53,24.7759175,121.0425062,130.66,0.006,176.1152,-0.028,0,1
1644,2023-11-01 14:46:05.200,GPS,167977603,0,3,283583200,2286,32,0.53,24.7759175,121.0425062,130.68,0.016,176.1152,-0.015,0,1
1744,2023-11-01 14:46:05.400,GPS,168177592,0,3,283583400,2286,32,0.53,24.7759174,121.0425062,130.68,0.02,176.1152,-0.015,0,1
1849,2023-11-01 14:46:05.600,GPS,168377814,0,3,283583600,2286,32,0.53,24.7759175,121.0425063,130.69,0.005,176.1152,0.031,0,1
1955,2023-11-01 14:46:05.800,GPS,168577624,0,3,283583800,2286,32,0.53,24.7759174,121.0425063,130.69,0.007,176.1152,-0.04,0,1
2060,2023-11-01 14:46:06.000,GPS,168777584,0,3,283584000,2286,32,0.53,24.7759174,121.0425063,130.69,0.015,176.1152,0.002,0,1
2165,2023-11-01 14:46:06.200,GPS,168977616,0,3,283584200,2286,32,0.53,24.7759174,121.0425062,130.7,0.009000001,176.1152,0.029,0,1
2266,2023-11-01 14:46:06.400,GPS,169177593,0,3,283584400,2286,32,0.53,24.7759174,121.0425063,130.72,0.012,176.1152,-0.053,0,1
2371,2023-11-01 14:46:06.600,GPS,169377570,0,3,283584600,2286,32,0.53,24.7759174,121.0425063,130.72,0.005,176.1152,-0.023,0,1
2477,2023-11-01 14:46:06.800,GPS,169577581,0,3,283584800,2286,32,0.53,24.7759174,121.0425063,130.73,0.03,176.1152,0.023,0,1
2581,2023-11-01 14:46:07.000,GPS,169777619,0,3,283585000,2286,32,0.53,24.7759174,121.0425063,130.73,0.025,176.1152,-0.021,0,1
2686,2023-11-01 14:46:07.200,GPS,169977600,0,3,283585200,2286,32,0.53,24.7759174,121.0425063,130.73,0.01,176.1152,0.025,0,1
2787,2023-11-01 14:46:07.400,GPS,170177571,0,3,283585400,2286,32,0.53,24.7759174,121.0425063,130.74,0.006,176.1152,0.024,0,1
2891,2023-11-01 14:46:07.600,GPS,170377614,0,3,283585600,2286,32,0.53,24.7759174,121.0425063,130.74,0.007,176.1152,0.02,0,1
2997,2023-11-01 14:46:07.800,GPS,170577655,0,3,283585800,2286,32,0.53,24.7759173,121.0425064,130.74,0.013,176.1152,-0.008,0,1
3101,2023-11-01 14:46:08.000,GPS,170777663,0,3,283586000,2286,32,0.53,24.7759173,121.0425064,130.75,0.01,176.1152,-0.058,0,1
3206,2023-11-01 14:46:08.200,GPS,170977716,0,3,283586200,2286,32,0.53,24.7759173,121.0425064,130.75,0.011,176.1152,0.004,0,1
3309,2023-11-01 14:46:08.400,GPS,171177606,0,3,283586400,2286,32,0.53,24.7759173,121.0425064,130.76,0.019,176.1152,0.009000001,0,1
3414,2023-11-01 14:46:08.600,GPS,171377621,0,3,283586600,2286,32,0.53,24.7759173,121.0425064,130.75,0.022,176.1152,0.015,0,1
3518,2023-11-01 14:46:08.800,GPS,171577605,0,3,283586800,2286,32,0.53,24.7759173,121.0425064,130.74,0.01,176.1152,-0.027,0,1
3628,2023-11-01 14:46:09.020,GPS,171797594,0,3,283587000,2286,32,0.53,24.7759173,121.0425065,130.75,0.004,176.1152,-0.041,0,1
3729,2023-11-01 14:46:09.200,GPS,171977619,0,3,283587200,2286,32,0.53,24.7759173,121.0425065,130.75,0.015,176.1152,0.009000001,0,1
3830,2023-11-01 14:46:09.400,GPS,172177583,0,3,283587400,2286,32,0.53,24.7759173,121.0425065,130.76,0.009000001,176.1152,-0.031,0,1
3937,2023-11-01 14:46:09.600,GPS,172377585,0,3,283587600,2286,32,0.53,24.7759172,121.0425066,130.76,0.022,176.1152,-0.045,0,1
4041,2023-11-01 14:46:09.800,GPS,172577575,0,3,283587800,2286,32,0.53,24.7759172,121.0425066,130.77,0.004,176.1152,-0.034,0,1
4146,2023-11-01 14:46:10.000,GPS,172777573,0,3,283588000,2286,32,0.54,24.7759172,121.0425066,130.78,0.037,176.1152,-0.014,0,1
4251,2023-11-01 14:46:10.200,GPS,172977835,0,3,283588200,2286,32,0.54,24.7759173,121.0425067,130.77,0.019,176.1152,-0.037,0,1
4352,2023-11-01 14:46:10.400,GPS,173177686,0,3,283588400,2286,32,0.54,24.7759173,121.0425067,130.78,0.002,176.1152,-0.005,0,1
4456,2023-11-01 14:46:10.600,GPS,173377580,0,3,283588600,2286,32,0.54,24.7759173,121.0425067,130.77,0.024,176.1152,0.008,0,1
4560,2023-11-01 14:46:10.800,GPS,173577611,0,3,283588800,2286,32,0.54,24.7759173,121.0425068,130.78,0.016,176.1152,0.017,0,1
4666,2023-11-01 14:46:11.000,GPS,173777618,0,3,283589000,2286,32,0.54,24.7759172,121.0425068,130.79,0.021,176.1152,0.009000001,0,1
4770,2023-11-01 14:46:11.200,GPS,173977624,0,3,283589200,2286,32,0.54,24.7759172,121.0425068,130.79,0.011,176.1152,-0.064,0,1
4873,2023-11-01 14:46:11.400,GPS,174177630,0,3,283589400,2286,32,0.54,24.7759172,121.0425068,130.77,0.006,176.1152,0.062,0,1
4978,2023-11-01 14:46:11.600,GPS,174377664,0,3,283589600,2286,32,0.54,24.7759171,121.0425069,130.76,0.025,176.1152,0.034,0,1
5079,2023-11-01 14:46:11.800,GPS,174577610,0,3,283589800,2286,32,0.54,24.7759171,121.0425069,130.76,0.025,176.1152,0.068,0,1
5172,2023-11-01 14:46:12.000,GPS,174777619,0,3,283590000,2286,32,0.54,24.7759171,121.0425069,130.75,0.029,176.1152,0,0,1
5264,2023-11-01 14:46:12.200,GPS,174977688,0,3,283590200,2286,32,0.54,24.7759171,121.0425069,130.76,0.032,176.1152,0.027,0,1
5355,2023-11-01 14:46:12.400,GPS,175177842,0,3,283590400,2286,32,0.54,24.7759171,121.0425069,130.76,0.016,176.1152,0.022,0,1
5448,2023-11-01 14:46:12.600,GPS,175377858,0,3,283590600,2286,32,0.54,24.7759171,121.042507,130.77,0.034,176.1152,0.046,0,1
5540,2023-11-01 14:46:12.800,GPS,175577846,0,3,283590800,2286,32,0.54,24.7759171,121.0425071,130.77,0.02,176.1152,-0.032,0,1
5637,2023-11-01 14:46:13.020,GPS,175797401,0,3,283591000,2286,32,0.54,24.7759171,121.0425071,130.77,0.03,176.1152,-0.023,0,1
5729,2023-11-01 14:46:13.200,GPS,175977743,0,3,283591200,2286,32,0.54,24.7759171,121.0425071,130.78,0.028,176.1152,-0.009000001,0,1
5821,2023-11-01 14:46:13.400,GPS,176177618,0,3,283591400,2286,32,0.54,24.7759171,121.0425071,130.78,0.01,176.1152,-0.028,0,1
5915,2023-11-01 14:46:13.600,GPS,176377605,0,3,283591600,2286,32,0.54,24.7759171,121.0425071,130.79,0.008,176.1152,0.017,0,1
6007,2023-11-01 14:46:13.800,GPS,176577592,0,3,283591800,2286,32,0.54,24.7759171,121.0425071,130.79,0.01,176.1152,0.018,0,1
6100,2023-11-01 14:46:14.000,GPS,176777417,0,3,283592000,2286,32,0.54,24.7759172,121.0425071,130.8,0.018,176.1152,-0.029,0,1
6194,2023-11-01 14:46:14.200,GPS,176977451,0,3,283592200,2286,32,0.54,24.7759172,121.0425071,130.8,0.006,176.1152,-0.011,0,1
6284,2023-11-01 14:46:14.400,GPS,177177455,0,3,283592400,2286,32,0.54,24.7759172,121.0425072,130.81,0.007,176.1152,-0.028,0,1
6377,2023-11-01 14:46:14.600,GPS,177377436,0,3,283592600,2286,32,0.54,24.7759172,121.0425072,130.82,0.008,176.1152,-0.03,0,1
6483,2023-11-01 14:46:14.800,GPS,177577456,0,3,283592800,2286,32,0.54,24.7759172,121.0425072,130.82,0.02,176.1152,-0.029,0,1
